"K","eta","model","N_zero","divergences","min_ess","ess_per_1k_grad","seconds","failed"
7,4,"ldl3",7,218,8872.91505574166,161.393219996392,1.22119498252869,FALSE
7,4,"cvine",7,130,8879.63497007989,159.307396438398,1.32958602905273,FALSE
7,4,"schur",7,NA,NA,NA,NA,TRUE
7,4,"qr2",7,0,3829.35642351368,69.0023861812325,0.487100839614868,FALSE
7,4,"tri",7,0,10400.0549825891,187.334371759296,0.371374845504761,FALSE
9,1,"carpenter",13,7490,368.771900740044,3.16165176947714,29.6838231086731,FALSE
9,1,"pinkney",13,7490,368.771900740044,3.16165176947714,23.8810579776764,FALSE
9,1,"ldl2",13,7490,368.771900740044,3.16165176947714,28.9995341300964,FALSE
9,1,"ldl3",13,7490,368.771900740044,3.16165176947714,24.8388249874115,FALSE
9,1,"cvine",13,7465,375.728969973052,3.32606532973091,29.6715550422668,FALSE
9,1,"schur",13,NA,NA,NA,NA,TRUE
9,1,"qr2",13,0,4147.14169829968,62.5322934001761,0.815924167633057,FALSE
9,1,"tri",13,0,5451.12341745612,97.3275856566225,0.589695930480957,FALSE
9,2,"carpenter",13,1864,5403.92854532127,41.3128591821511,8.00862812995911,FALSE
9,2,"pinkney",13,1980,4769.99411671434,43.8293695428172,6.80463910102844,FALSE
9,2,"ldl2",13,2174,4284.25634918291,39.5562317574224,8.95315480232239,FALSE
9,2,"ldl3",13,2564,19.2705795181655,0.202553969162328,11.3581659793854,FALSE
9,2,"cvine",13,1774,4155.36576692248,39.0420806227625,7.49759292602539,FALSE
9,2,"schur",13,NA,NA,NA,NA,TRUE
9,2,"qr2",13,0,3573.44083908708,62.5865356432514,0.692806005477905,FALSE
9,2,"tri",13,0,7112.12431192437,127.047593996505,0.5868079662323,FALSE
9,3,"carpenter",13,820,5676.71287318301,71.6177946253407,3.75398707389832,FALSE
9,3,"pinkney",13,771,6193.23214181085,72.1359518002546,3.0953860282898,FALSE
9,3,"ldl2",13,594,6684.44559189719,61.1551887130014,3.06982707977295,FALSE
9,3,"ldl3",13,825,5750.09102654991,80.2625734781747,3.19947719573975,FALSE
9,3,"cvine",13,726,6295.77947810255,71.9657473806631,3.58275103569031,FALSE
9,3,"schur",13,NA,NA,NA,NA,TRUE
